He,O,N2,O2,Ar,Tn,alt_km,lat,lon
2090513700000000.0,3280030600000000.0,3.055559e+20,7.9769041e+19,3.6260145e+18,197.17,80.0,-31.17,-70.81
1930476000000000.0,4609882900000000.0,2.8169338e+20,7.3435458e+19,3.34063e+18,196.59,80.5,-31.17,-70.81
1782391600000000.0,6393058800000000.0,2.5961234e+20,6.7578179e+19,3.0765592e+18,196.04,81.0,-31.17,-70.81
1645430800000000.0,8747282300000000.0,2.3918908e+20,6.2164048e+19,2.8323246e+18,195.5,81.5,-31.17,-70.81
1518820400000000.0,1.1807244e+16,2.2030832e+20,5.7162127e+19,2.6065471e+18,194.98,82.0,-31.17,-70.81
1401832900000000.0,1.5722611e+16,2.0286174e+20,5.2543374e+19,2.3979301e+18,194.48,82.5,-31.17,-70.81
1293781300000000.0,2.0654429e+16,1.8674712e+20,4.8280356e+19,2.2052523e+18,194.0,83.0,-31.17,-70.81
1194025100000000.0,2.6769951e+16,1.7186892e+20,4.4347469e+19,2.0273704e+18,193.54,83.5,-31.17,-70.81
1101964400000000.0,3.4235914e+16,1.5813785e+20,4.0720778e+19,1.8632176e+18,193.09,84.0,-31.17,-70.81
1017037700000000.0,4.3210206e+16,1.4547034e+20,3.7377885e+19,1.7117934e+18,192.65,84.5,-31.17,-70.81
938721610000000.0,5.3833026e+16,1.3378842e+20,3.4297873e+19,1.572166e+18,192.23,85.0,-31.17,-70.81
866524820000000.0,6.6217169e+16,1.2301892e+20,3.1461164e+19,1.4434604e+18,191.83,85.5,-31.17,-70.81
799993020000000.0,8.0438948e+16,1.1309412e+20,2.8849615e+19,1.3248671e+18,191.44,86.0,-31.17,-70.81
738700020000000.0,9.6530086e+16,1.0395069e+20,2.6446254e+19,1.2156286e+18,191.06,86.5,-31.17,-70.81
682250920000000.0,1.1447081e+17,9.5529748e+19,2.4235319e+19,1.1150412e+18,190.69,87.0,-31.17,-70.81
630277120000000.0,1.3418559e+17,8.7776476e+19,2.2202144e+19,1.0224497e+18,190.33,87.5,-31.17,-70.81
582436020000000.0,1.5554136e+17,8.0639819e+19,2.0333057e+19,9.3724337e+17,189.98,88.0,-31.17,-70.81
538410490000000.0,1.7834934e+17,7.4072603e+19,1.8615442e+19,8.5885856e+17,189.64,88.5,-31.17,-70.81
497904720000000.0,2.0236816e+17,6.8030853e+19,1.7037537e+19,7.8676984e+17,189.31,89.0,-31.17,-70.81
460645610000000.0,2.2731118e+17,6.2473859e+19,1.5588458e+19,7.2049025e+17,188.99,89.5,-31.17,-70.81
426378950000000.0,2.5285548e+17,5.736387e+19,1.4258105e+19,6.5956919e+17,188.67,90.0,-31.17,-70.81
394868020000000.0,2.7865117e+17,5.2665688e+19,1.303708e+19,6.0358536e+17,188.36,90.5,-31.17,-70.81
365886350000000.0,3.0432778e+17,4.8345689e+19,1.191643e+19,5.5213811e+17,188.06,91.0,-31.17,-70.81
339224940000000.0,3.2950838e+17,4.4372916e+19,1.0887905e+19,5.0485781e+17,187.79,91.5,-31.17,-70.81
